tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Brisbane International - Brisbane" ,2018-01-01 ,"Kiki Bertens/Demi Schuurs" ,"Johanna Konta/Elina Svitolina" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Priscilla Hon/Ajla Tomljanovic" ,"Alicja Rosolska/Abigail Spears" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,1 , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Lyudmyla Kichenok/Makoto Ninomiya" ,"Sorana Cirstea/Anastasija Sevastova" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-01 ,"Hanyu Guo/Xin Yu Wang" ,"Kristyna Pliskova/Renata Voracova" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,4 , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Eri Hozumi/Miyu Kato" ,"Lauren Davis/Christina Mchale" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Arina Rodionova/Maryna Zanevska" ,"Tereza Mrdeza/Conny Perrin" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Ysaline Bonaventure/Viktorija Golubic" ,"Kaitlyn Christian/Sofia Kenin" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Arantxa Rus/Silvia Soler Espinosa" ,"Paige Mary Hourigan/Erin Routliffe" ,2 ,1 ,6 ,2 ,1 , , ,2 ,6 ,5 , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Sara Errani/Bibiane Schoofs" ,"Asia Muhammad/Barbora Stefkova" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Magdalena Frech/Prarthana Thombare" ,"Mona Barthel/Donna Vekic" ,2 ,1 ,5 ,6 ,1 , , ,7 ,3 ,8 , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,"Shuko Aoyama/Zhaoxuan Yang" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Gabriela Dabrowski/Yifan Xu" ,"Monique Adamczak/Storm Sanders" ,2 ,1 ,6 ,6 ,1 , , ,4 ,7 ,7 , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Nadiya Kichenok/Anastasia Rodionova" ,"Hao Ching Chan/Katarina Srebotnik" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,6 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Irina Camelia Begu/Simona Halep" ,"Irina Maria Bara/Mihaela Buzarnescu" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,1 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Barbora Krejcikova/Katerina Siniakova" ,"Danka Kovinic/Evgeniya Rodina" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Lesley Kerkhove/Lidziya Marozava" ,"Ekaterina Alexandrova/Stefanie Voegele" ,2 ,1 ,2 ,7 ,1 , , ,6 ,5 ,4 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Nicole Gibbs/Carol Zhao" ,"Raluca Olaru/Olga Savchuk" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Jing Jing Lu/Qiang Wang" ,"Oksana Kalashnikova/Yafan Wang" ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,6 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Anna Blinkova/Nicola Geuer" ,"Jia Qi Kang/Shuai Zhang" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Eri Hozumi/Miyu Kato" ,"Ysaline Bonaventure/Viktorija Golubic" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Madison Brengle/Nicole Melichar" ,"Naomi Broady/Maria Irigoyen" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Sara Errani/Bibiane Schoofs" ,"Arina Rodionova/Maryna Zanevska" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Nao Hibino/Darija Jurak" ,"Shu Ying Hsieh/Jade Lewis" ,2 ,0 ,6 ,6 , , , ,1 ,0 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Ashleigh Barty/Casey Dellacqua" ,"Priscilla Hon/Ajla Tomljanovic" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
